No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
100);47.413;0;0080;8;00;17;D4;09;1B;17;1B;D1
101);47.653;0;0081;8;80;84;87;00;00;00;00;C1
102);47.883;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
103);48.118;0;0329;8;84;AF;80;8C;12;29;00;10
104);48.364;0;0382;8;40;FE;0F;00;00;00;00;0C
105);48.604;0;04F2;8;80;00;70;30;00;00;00;86
106);48.838;0;0545;8;D8;0F;00;8A;1D;00;1E;00
107);49.778;0;043F;8;00;40;60;FF;7D;94;09;00
108);50.018;0;0370;8;FF;20;00;80;FF;00;00;EC
109);50.264;0;0440;8;FF;F0;00;00;FF;90;09;00
110);50.506;0;0153;8;00;80;10;FF;00;FF;B0;3E
111);50.755;0;01F1;8;00;BD;00;00;00;00;00;00
112);50.989;0;0220;8;F0;2B;F8;13;C5;31;01;10
113);53.009;0;0018;8;20;00;01;60;01;00;20;00
114);53.247;0;0350;8;05;28;14;54;68;00;00;05
115);55.383;0;04B0;8;00;80;00;80;00;40;00;80
116);55.631;0;0164;8;00;08;01;00;00;00;06;0F
117);56.238;0;02B0;5;2D;00;00;07;D5;-1;-1;-1
118);56.476;0;0165;8;B6;B7;80;00;00;00;05;84
119);56.806;0;04F0;8;00;00;12;00;00;0A;21;0F
120);57.036;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
121);57.270;0;0260;8;05;1B;00;30;00;8D;5D;23
122);57.508;0;0080;8;00;17;D4;09;1B;17;1B;C2
123);57.749;0;0081;8;80;84;87;00;00;00;00;B2
124);57.991;0;018F;8;00;34;1B;00;00;3F;00;10
125);58.221;0;0316;8;05;1B;D4;09;1B;17;00;7F
126);58.455;0;0329;8;84;AF;80;8C;12;29;00;10
127);58.691;0;0545;8;D8;0F;00;8A;1E;00;1F;00
128);59.733;0;043F;8;00;40;60;FF;7D;90;09;00
129);59.975;0;0370;8;FF;20;00;80;FF;00;00;A0
130);60.217;0;0440;8;FF;00;00;00;FF;8C;09;00
131);60.460;0;0153;8;00;80;10;FF;00;FF;C0;4E
132);60.692;0;0220;8;EE;33;F7;13;C5;01;01;10
133);65.347;0;04B1;8;27;64;62;9E;00;00;00;8B
134);65.591;0;0164;8;00;08;01;00;00;00;07;0E
135);66.231;0;02B0;5;2B;00;00;07;86;-1;-1;-1
136);66.469;0;0165;8;B6;B7;80;00;00;00;06;87
137);66.701;0;02A0;8;62;00;87;9D;C0;2E;36;0C
138);66.935;0;0316;8;05;1B;E4;09;1B;17;00;7F
139);67.170;0;0080;8;00;17;E4;09;1B;17;1B;A3
140);67.412;0;0081;8;80;84;87;00;00;00;00;A3
141);67.654;0;018F;8;00;34;1B;00;00;3F;00;10
142);67.888;0;0260;8;05;1B;00;30;00;8D;5D;32
143);68.122;0;0329;8;84;AF;80;8C;12;29;00;10
144);68.370;0;0382;8;40;FE;0F;00;00;00;00;00
145);68.611;0;04F2;8;80;00;70;30;00;00;00;87
146);68.849;0;0545;8;D8;0F;00;8B;1E;00;1F;00
147);69.721;0;043F;8;00;40;60;FF;7D;8C;09;00
148);69.961;0;0370;8;FF;20;00;80;FF;00;00;64
149);70.205;0;0440;8;FF;50;00;00;FF;88;09;00
150);70.445;0;0153;8;00;80;10;FF;00;FF;D0;5E
151);70.693;0;01F1;8;00;BD;00;00;00;00;00;00
152);70.921;0;0220;8;EB;3B;FA;23;C5;31;01;10
153);73.017;0;0350;8;05;28;24;54;68;00;00;35
154);75.381;0;04B0;8;00;C0;00;80;00;40;00;80
155);75.629;0;0164;8;00;08;01;00;00;00;08;01
156);76.233;0;02B0;5;2B;00;00;07;97;-1;-1;-1
157);76.469;0;0165;8;B5;B7;80;00;00;00;07;85
158);76.743;0;0316;8;05;1B;E4;09;1B;17;00;7F
159);76.980;0;0260;8;05;1B;00;30;00;8C;5D;06
160);77.222;0;018F;8;00;34;1B;00;00;3F;00;10
161);77.456;0;0080;8;00;17;E4;09;1B;17;1B;94
162);77.694;0;0081;8;80;84;87;00;00;00;00;94
163);77.926;0;02A0;8;02;00;87;9D;C0;2E;36;0C
164);78.160;0;0329;8;84;AF;80;8C;12;29;00;10
165);78.403;0;04F0;8;00;00;14;00;00;0A;21;0F
166);78.641;0;0545;8;D8;0F;00;8C;1E;00;1F;00
167);79.743;0;043F;8;00;40;60;FF;7D;84;09;00
168);79.987;0;0370;8;FF;20;00;80;FF;00;00;28
169);80.231;0;0440;8;FF;A0;00;00;FF;7C;09;00
170);80.471;0;0153;8;00;80;10;FF;00;FF;E0;6E
171);80.703;0;0220;8;EB;03;02;2C;C5;01;FF;0F
172);85.345;0;04B1;8;27;64;62;9E;00;00;00;8B
173);85.591;0;0164;8;00;08;01;00;00;00;09;00
174);86.227;0;02B0;5;2C;00;00;07;18;-1;-1;-1
175);86.466;0;0165;8;B4;C7;80;00;00;00;08;FB
176);86.700;0;0316;8;05;1B;E4;09;1B;17;00;7F
177);86.938;0;0260;8;05;1B;00;30;00;8C;5D;15
178);87.180;0;018F;8;00;34;1B;00;00;3F;00;10
179);87.414;0;0080;8;00;17;E4;09;1B;17;1B;85
180);87.655;0;0081;8;80;84;87;00;00;00;00;85
181);87.885;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
182);88.117;0;0329;8;D7;AF;80;8C;12;29;00;10
183);88.363;0;0382;8;40;FE;0F;00;00;00;00;04
184);88.607;0;04F2;8;80;00;80;30;00;00;00;88
185);88.845;0;0545;8;D8;0F;00;8C;1E;00;1F;00
186);89.801;0;043F;8;00;40;60;FF;7D;80;09;00
187);90.042;0;0370;8;FF;20;00;80;FF;00;00;EC
188);90.288;0;0440;8;FF;F0;00;00;FF;80;09;00
189);90.526;0;0153;8;00;80;10;FF;00;FF;00;8E
190);90.774;0;01F1;8;00;BD;00;00;00;00;00;00
191);91.008;0;0220;8;EC;0B;08;3C;C5;01;FF;0F
192);93.030;0;0510;8;00;00;00;00;00;00;00;00
193);93.266;0;0350;8;05;28;34;54;68;00;00;25
194);94.364;0;0587;8;00;00;00;00;00;00;00;01
195);95.382;0;04B0;8;00;00;00;C0;00;40;00;80
196);95.631;0;0164;8;00;08;01;00;00;00;0A;03
197);96.243;0;02B0;5;2D;00;00;07;19;-1;-1;-1
198);96.481;0;0165;8;B3;C7;80;00;00;00;09;FD
199);96.717;0;0260;8;05;1B;00;30;00;8C;5B;26
200);96.959;0;018F;8;00;34;1B;00;00;3F;00;10
201);97.194;0;0080;8;00;17;D4;09;1A;17;1B;96
202);97.432;0;0081;8;80;84;87;00;00;00;00;76
203);97.662;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
204);97.892;0;0316;8;05;1A;D4;09;1B;17;00;7F
205);98.124;0;0329;8;D7;AF;80;8C;12;29;00;10
206);98.366;0;04F0;8;00;00;16;00;00;0A;21;0F
207);98.601;0;0545;8;D8;0F;00;8B;1B;00;1D;00
208);99.743;0;043F;8;00;40;60;FF;7D;84;09;00
209);99.985;0;0370;8;FF;20;00;80;FF;00;00;A0
210);100.227;0;0440;8;FF;00;00;00;FF;8C;09;00
211);100.465;0;0153;8;00;80;10;FF;00;FF;10;9E
212);100.695;0;0220;8;EF;13;08;1C;C5;11;FF;0F
213);105.343;0;04B1;8;27;64;62;9E;00;00;00;8B
214);105.589;0;0164;8;00;08;01;00;00;00;0B;02
215);106.239;0;02B0;5;2E;00;00;07;1A;-1;-1;-1
216);106.477;0;0165;8;B3;C7;80;00;00;00;0A;FE
217);106.718;0;04F2;8;80;00;80;30;00;00;00;89
218);106.984;0;0316;8;05;1A;D4;09;1B;17;00;7F
219);107.226;0;018F;8;00;34;1B;00;00;3F;00;10
220);107.462;0;0080;8;00;17;D4;09;1A;17;1B;87
221);107.702;0;0081;8;80;84;87;00;00;00;00;67
222);107.937;0;0260;8;05;1B;00;30;00;8C;5B;35
223);108.169;0;02A0;8;62;00;87;9D;C0;2E;36;0C
224);108.401;0;0329;8;D7;AF;80;8C;12;29;00;10
225);108.647;0;0382;8;40;FE;0F;00;00;00;00;08
226);108.881;0;0545;8;D8;0F;00;8A;1B;00;1D;00
227);109.745;0;043F;8;00;40;60;FF;7D;80;09;00
228);109.985;0;0370;8;FF;20;00;80;FF;00;00;64
229);110.231;0;0440;8;FF;50;00;00;FF;80;09;00
230);110.472;0;0153;8;00;80;10;FF;00;FF;20;AE
231);110.720;0;01F1;8;00;BD;00;00;00;00;00;00
232);110.954;0;0220;8;F1;1B;03;2C;C5;01;FF;0F
233);111.202;0;059B;8;00;00;00;00;00;00;00;00
234);112.413;0;02C0;8;3D;00;00;00;00;00;00;00
235);113.003;0;0350;8;05;28;44;54;68;00;00;55
236);115.381;0;04B0;8;00;40;00;C0;00;40;00;80
237);115.627;0;0164;8;00;08;01;00;00;00;0C;05
238);116.215;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
