No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
4451);2135.242;0;04B0;8;00;80;00;00;00;40;00;80
4452);2135.490;0;0164;8;00;08;01;00;00;00;06;0F
4453);2136.190;0;02B0;5;2B;00;00;07;B5;-1;-1;-1
4454);2136.426;0;0165;8;B7;A7;80;00;00;00;05;95
4455);2136.656;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
4456);2136.890;0;0080;8;00;17;96;09;1C;17;1C;C2
4457);2137.131;0;0081;8;80;84;87;00;00;00;00;B2
4458);2137.373;0;018F;8;00;34;1C;00;00;3F;00;10
4459);2137.611;0;0260;8;05;1C;00;30;00;8C;5F;21
4460);2137.845;0;0316;8;05;1C;96;09;1C;17;00;7F
4461);2138.077;0;0329;8;40;B0;80;8C;12;29;00;10
4462);2138.317;0;04F0;8;00;00;E2;00;00;0A;21;0F
4463);2138.554;0;0545;8;D8;0E;00;8B;27;00;28;00
4464);2139.636;0;043F;8;00;40;60;FF;7D;50;09;00
4465);2139.878;0;0370;8;FF;20;00;80;FF;00;00;A0
4466);2140.122;0;0440;8;FF;00;00;00;FF;50;09;00
4467);2140.360;0;0153;8;00;80;10;FF;00;FF;A0;2E
4468);2140.590;0;0220;8;EF;33;F6;13;BF;11;05;10
4469);2141.578;0;00A0;8;46;7C;C2;09;00;1F;00;02
4470);2141.814;0;00A1;8;7F;8D;80;80;25;00;00;00
4471);2145.204;0;04B1;8;27;64;62;9E;00;00;00;8B
4472);2145.448;0;0164;8;00;08;01;00;00;00;07;0E
4473);2146.244;0;02B0;5;2D;00;00;07;E6;-1;-1;-1
4474);2146.483;0;0165;8;B7;C7;80;00;00;00;06;F6
4475);2146.725;0;04F2;8;80;00;C0;30;00;00;00;EF
4476);2146.963;0;0260;8;05;1B;00;30;00;8C;5F;31
4477);2147.195;0;02A0;8;62;00;87;9D;C0;2E;36;0C
4478);2147.427;0;0080;8;00;17;BC;09;1B;17;1B;53
4479);2147.670;0;0081;8;80;84;87;00;00;00;00;A3
4480);2147.912;0;018F;8;00;34;1B;00;00;3F;00;10
4481);2148.142;0;0316;8;05;1B;BC;09;1B;17;00;7F
4482);2148.374;0;0329;8;40;B0;80;8C;12;29;00;10
4483);2148.622;0;0382;8;40;FE;0F;00;00;00;00;00
4484);2148.856;0;0545;8;D8;0F;00;8B;26;00;26;00
4485);2149.588;0;043F;8;00;40;60;FF;7D;50;09;00
4486);2149.829;0;0370;8;FF;20;00;80;FF;00;00;64
4487);2150.075;0;0440;8;FF;50;00;00;FF;50;09;00
4488);2150.317;0;0153;8;00;80;10;FF;00;FF;B0;3E
4489);2150.565;0;01F1;8;00;BD;00;00;00;00;00;00
4490);2150.801;0;0220;8;F0;3B;F9;13;BF;01;02;10
4491);2152.277;0;0350;8;05;28;A4;54;68;00;00;B5
4492);2155.243;0;04B0;8;00;C0;00;00;00;40;00;80
4493);2155.491;0;0164;8;00;08;01;00;00;00;08;01
4494);2156.241;0;02B0;5;2D;00;00;07;F7;-1;-1;-1
4495);2156.481;0;0165;8;B5;C7;80;00;00;00;07;F5
4496);2156.719;0;0260;8;05;1B;00;30;00;8C;5F;04
4497);2156.952;0;02A0;8;02;00;87;9D;C0;2E;36;0C
4498);2157.186;0;0080;8;00;17;BC;09;1B;17;1B;44
4499);2157.424;0;0081;8;80;84;87;00;00;00;00;94
4500);2157.666;0;018F;8;00;34;1B;00;00;3F;00;10
4501);2157.896;0;0316;8;05;1B;BC;09;1B;17;00;7F
4502);2158.128;0;0329;8;40;B0;80;8C;12;29;00;10
4503);2158.371;0;04F0;8;00;00;E4;00;00;0A;21;0F
4504);2158.605;0;0545;8;D8;0F;00;8A;27;00;27;00
4505);2159.591;0;043F;8;00;40;60;FF;7D;44;09;00
4506);2159.835;0;0370;8;FF;20;00;80;FF;00;00;28
4507);2160.075;0;0440;8;FF;A0;00;00;FF;3C;09;00
4508);2160.317;0;0153;8;00;80;10;FF;00;FF;C0;4E
4509);2160.555;0;0220;8;F1;03;00;0C;BF;21;00;10
4510);2165.203;0;04B1;8;27;64;62;9E;00;00;00;8B
4511);2165.449;0;0164;8;00;08;01;00;00;00;09;00
4512);2166.251;0;02B0;5;2D;00;00;07;08;-1;-1;-1
4513);2166.489;0;0165;8;B4;C7;80;00;00;00;08;FB
4514);2166.720;0;0316;8;05;1B;CE;09;1B;17;00;7F
4515);2166.956;0;0260;8;05;1B;00;30;00;8C;5F;13
4516);2167.192;0;0080;8;00;17;CE;09;1B;17;1B;05
4517);2167.432;0;0081;8;80;84;87;00;00;00;00;85
4518);2167.674;0;018F;8;00;34;1B;00;00;3F;00;10
4519);2167.905;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
4520);2168.137;0;0329;8;40;B0;80;8C;12;29;00;10
4521);2168.383;0;0382;8;40;FE;0F;00;00;00;00;04
4522);2168.625;0;04F2;8;80;00;C0;30;00;00;00;F0
4523);2168.859;0;0545;8;D8;0F;00;8B;27;00;27;00
4524);2169.647;0;043F;8;00;40;60;FF;7D;3C;09;00
4525);2169.887;0;0370;8;FF;20;00;80;FF;00;00;EC
4526);2170.129;0;0440;8;FF;F0;00;00;FF;34;09;00
4527);2170.370;0;0153;8;00;80;10;FF;00;FF;D0;5E
4528);2170.618;0;01F1;8;00;BD;00;00;00;00;00;00
4529);2170.854;0;0220;8;F0;0B;07;2C;BF;21;00;10
4530);2172.333;0;0350;8;05;28;B4;54;68;00;00;A5
4531);2175.241;0;04B0;8;00;00;00;40;00;40;00;80
4532);2175.490;0;0164;8;00;08;01;00;00;00;0A;03
4533);2176.300;0;0316;8;05;1B;CE;09;1B;17;00;7F
4534);2176.538;0;0165;8;B3;C7;80;00;00;00;09;FD
4535);2176.774;0;0080;8;00;17;CE;09;1B;17;1B;F6
4536);2177.012;0;0081;8;80;84;87;00;00;00;00;76
4537);2177.254;0;018F;8;00;34;1B;00;00;3F;00;10
4538);2177.491;0;0260;8;05;1B;00;30;00;8C;5F;22
4539);2177.721;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
4540);2177.907;0;02B0;5;2B;00;00;07;79;-1;-1;-1
4541);2178.141;0;0329;8;40;B0;80;8C;12;2A;00;10
4542);2178.382;0;04F0;8;00;00;E6;00;00;0A;21;0F
4543);2178.616;0;0545;8;D8;0F;00;8C;26;00;26;00
4544);2179.595;0;043F;8;00;40;60;FF;7D;44;09;00
4545);2179.837;0;0370;8;FF;20;00;80;FF;00;00;A0
4546);2180.081;0;0440;8;FF;00;00;00;FF;50;09;00
4547);2180.321;0;0153;8;00;80;10;FF;00;FF;E0;6E
4548);2180.553;0;0220;8;EF;13;0D;1C;BF;01;03;10
4549);2180.821;0;05F0;2;00;00;-1;-1;-1;-1;-1;-1
4550);2182.928;0;0120;4;00;00;00;00;-1;-1;-1;-1
4551);2183.200;0;0517;8;00;00;00;00;00;00;00;00
4552);2185.202;0;04B1;8;27;64;62;9E;00;00;00;8B
4553);2185.448;0;0164;8;00;08;01;00;00;00;0B;02
4554);2186.196;0;02B0;5;2B;00;00;07;4A;-1;-1;-1
4555);2186.434;0;0165;8;B2;C7;80;00;00;00;0A;FF
4556);2186.667;0;02A0;8;62;00;87;9D;C0;2E;36;0C
4557);2186.903;0;0080;8;00;17;CE;09;1B;17;1B;E7
4558);2187.143;0;0081;8;80;84;87;00;00;00;00;67
4559);2187.385;0;018F;8;00;34;1B;00;00;3F;00;10
4560);2187.623;0;0260;8;05;1B;00;30;00;8C;5F;31
4561);2187.854;0;0316;8;05;1B;CE;09;1B;17;00;7F
4562);2188.084;0;0329;8;84;B0;80;8C;12;2A;00;10
4563);2188.330;0;0382;8;40;FE;0F;00;00;00;00;08
4564);2188.572;0;04F2;8;80;00;D0;30;00;00;00;F1
4565);2188.806;0;0545;8;D8;0F;00;8C;26;00;26;00
4566);2189.600;0;043F;8;00;40;60;FF;7D;50;09;00
4567);2189.840;0;0370;8;FF;20;00;80;FF;00;00;64
4568);2190.086;0;0440;8;FF;50;00;00;FF;5C;09;00
4569);2190.325;0;0153;8;00;80;10;FF;00;FF;00;8E
4570);2190.573;0;01F1;8;00;BD;00;00;00;00;00;00
4571);2190.805;0;0220;8;EE;1B;0A;0C;BF;31;04;10
4572);2192.303;0;0350;8;05;28;C4;54;68;00;00;D5
4573);2193.049;0;0510;8;00;00;00;00;00;00;00;00
4574);2194.397;0;0587;8;00;00;00;00;00;00;00;07
4575);2195.239;0;04B0;8;00;40;00;40;00;40;00;80
4576);2195.485;0;0164;8;00;08;01;00;00;00;0C;05
4577);2196.297;0;02B0;5;2E;00;00;07;0B;-1;-1;-1
4578);2196.537;0;0165;8;B3;C7;80;00;00;00;0B;FF
4579);2196.768;0;0316;8;05;1B;C8;09;1B;17;00;7F
4580);2197.002;0;0080;8;00;17;C8;09;1B;17;1B;38
4581);2197.240;0;0081;8;80;84;87;00;00;00;00;58
4582);2197.482;0;018F;8;00;34;1B;00;00;3F;00;10
4583);2197.718;0;0260;8;05;1B;00;30;00;8C;5D;06
4584);2197.951;0;02A0;8;02;00;87;9D;C0;2E;36;0C
4585);2198.181;0;0329;8;84;B0;80;8C;12;2A;00;10
4586);2198.419;0;04F0;8;00;00;E8;00;00;0A;21;0F
4587);2198.653;0;0545;8;D8;0F;00;8B;23;00;21;00
4588);2199.639;0;043F;8;00;40;60;FF;7D;50;09;00
4589);2199.883;0;0370;8;FF;20;00;80;FF;00;00;28
4590);2200.125;0;0440;8;FF;A0;00;00;FF;50;09;00
4591);2200.363;0;0153;8;00;80;10;FF;00;FF;10;9E
4592);2200.601;0;0220;8;EF;23;FF;0B;BF;11;04;10
4593);2205.201;0;04B1;8;27;64;62;9E;00;00;00;8B
4594);2205.449;0;0164;8;00;08;01;00;00;00;0D;04
4595);2206.252;0;02B0;5;2E;00;00;07;7C;-1;-1;-1
4596);2206.488;0;0165;8;B3;B7;80;00;00;00;0C;88
4597);2206.728;0;04F2;8;80;00;D0;30;00;00;00;F2
4598);2206.958;0;0316;8;05;1B;C8;09;1B;17;00;7F
4599);2207.188;0;0329;8;84;B0;80;8C;12;2A;00;10
4600);2207.422;0;0080;8;00;17;C8;09;1B;17;1B;29
4601);2207.665;0;0081;8;80;84;87;00;00;00;00;49
4602);2207.907;0;018F;8;00;34;1B;00;00;3F;00;10
4603);2208.145;0;0260;8;05;1B;00;30;00;8C;5D;15
4604);2208.375;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
4605);2208.621;0;0382;8;40;FE;0F;00;00;00;00;0C
4606);2208.858;0;0545;8;D8;0F;00;8A;23;00;21;00
4607);2209.598;0;043F;8;00;40;60;FF;7D;50;09;00
4608);2209.851;0;02C0;8;3D;00;00;00;00;00;00;00
4609);2210.092;0;0370;8;FF;20;00;80;FF;00;00;EC
4610);2210.332;0;0153;8;00;80;10;FF;00;FF;20;AE
4611);2210.580;0;01F1;8;00;BD;00;00;00;00;00;00
4612);2210.818;0;0220;8;F1;2B;F6;0B;BF;01;04;10
4613);2211.062;0;0440;8;FF;F0;00;00;FF;50;09;00
4614);2211.306;0;059B;8;00;00;00;00;00;00;00;C4
4615);2212.382;0;0350;8;05;28;D4;54;68;00;00;C5
4616);2215.238;0;04B0;8;00;80;00;40;00;40;00;80
4617);2215.484;0;0164;8;00;08;01;00;00;00;0E;07
4618);2216.264;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
4619);2216.505;0;0165;8;B5;A7;80;00;00;00;0D;9F
4620);2216.739;0;0260;8;05;1B;00;30;00;8C;5D;24
4621);2216.973;0;0080;8;00;17;C6;09;1B;17;1B;3A
4622);2217.211;0;0081;8;80;84;87;00;00;00;00;3A
4623);2217.453;0;018F;8;00;34;1B;00;00;3F;00;10
4624);2217.683;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
4625);2217.868;0;02B0;5;2C;00;00;07;4D;-1;-1;-1
4626);2218.100;0;0316;8;05;1B;C6;09;1B;17;00;7F
4627);2218.330;0;0329;8;84;B0;80;8C;12;2A;00;10
4628);2218.568;0;04F0;8;00;00;EA;00;00;0A;21;0F
4629);2218.803;0;0545;8;D8;0F;00;8A;24;00;22;00
4630);2219.047;0;04F1;8;C0;18;00;00;00;00;00;00
4631);2219.315;0;051A;8;00;03;00;00;00;00;00;00
4632);2219.577;0;0690;8;03;00;00;20;A0;00;39;00
4633);2219.819;0;0370;8;FF;20;00;80;FF;00;00;A0
4634);2220.061;0;043F;8;00;40;60;FF;7D;54;09;00
4635);2220.302;0;0153;8;00;80;10;FF;00;FF;30;BE
4636);2220.538;0;0220;8;F2;33;F2;1B;BF;01;04;10
4637);2220.778;0;0440;8;FF;00;00;00;FF;58;09;00
4638);2225.200;0;04B1;8;27;64;62;9E;00;00;00;8B
4639);2225.446;0;0164;8;00;08;01;00;00;00;0F;06
4640);2226.260;0;02B0;5;2C;00;00;07;7E;-1;-1;-1
4641);2226.496;0;0165;8;B7;A7;80;00;00;00;0E;9E
4642);2226.728;0;0316;8;05;1B;C6;09;1B;17;00;7F
4643);2226.965;0;0080;8;00;17;C6;09;1B;17;1B;2B
4644);2227.205;0;0081;8;80;84;87;00;00;00;00;2B
4645);2227.447;0;018F;8;00;34;1B;00;00;3F;00;10
4646);2227.681;0;0260;8;05;1B;00;30;00;8C;5D;33
4647);2227.913;0;02A0;8;62;00;87;9D;C0;2E;36;0C
4648);2228.143;0;0329;8;84;B0;80;8C;12;2A;00;10
4649);2228.392;0;0382;8;40;FE;0F;00;00;00;00;00
4650);2228.632;0;04F2;8;80;00;D0;30;00;00;00;F3
4651);2228.866;0;0545;8;D8;0F;00;8A;24;00;22;00
4652);2229.602;0;043F;8;00;40;60;FF;7D;50;09;00
4653);2229.842;0;0370;8;FF;20;00;80;FF;00;00;64
4654);2230.088;0;0440;8;FF;50;00;00;FF;50;09;00
4655);2230.326;0;0153;8;00;80;10;FF;00;FF;40;CE
4656);2230.574;0;01F1;8;00;BD;00;00;00;00;00;00
4657);2230.815;0;0220;8;F0;3B;F4;2B;BF;31;04;10
4658);2232.346;0;0350;8;05;28;E4;54;68;00;00;F5
4659);2233.022;0;0110;8;D0;3C;40;09;00;00;00;00
4660);2235.236;0;04B0;8;00;C0;00;40;00;40;00;80
4661);2235.485;0;0164;8;00;08;01;00;00;00;00;09
4662);2236.225;0;02B0;5;2D;00;00;07;7F;-1;-1;-1
4663);2236.467;0;0165;8;B8;A7;80;00;00;00;0F;90
4664);2236.699;0;02A0;8;02;00;87;9D;C0;2E;36;0C
4665);2236.935;0;0260;8;05;1B;00;30;00;8C;5D;06
4666);2237.170;0;0080;8;00;17;C6;09;1B;17;1B;1C
4667);2237.412;0;0081;8;80;84;87;00;00;00;00;1C
4668);2237.654;0;018F;8;00;34;1B;00;00;3F;00;10
4669);2237.886;0;0316;8;05;1B;C6;09;1B;17;00;7F
4670);2238.116;0;0329;8;84;B0;80;8C;12;2A;00;10
4671);2238.358;0;04F0;8;00;00;EC;00;00;0A;21;0F
4672);2238.593;0;0545;8;D8;0F;00;8A;24;00;22;00
4673);2239.664;0;043F;8;00;40;60;FF;7D;54;09;00
4674);2239.908;0;0370;8;FF;20;00;80;FF;00;00;28
4675);2240.150;0;0440;8;FF;A0;00;00;FF;5C;09;00
4676);2240.390;0;0153;8;00;80;10;FF;00;FF;50;DE
4677);2240.630;0;0220;8;EE;03;F7;23;BF;01;04;10
4678);2241.572;0;00A0;8;47;7C;C8;09;00;20;00;02
4679);2241.810;0;00A1;8;7F;8D;80;80;26;00;00;00
4680);2242.928;0;0050;4;00;83;00;00;-1;-1;-1;-1
4681);2245.198;0;04B1;8;27;64;62;9E;00;00;00;8B
4682);2245.447;0;0164;8;00;08;01;00;00;00;01;08
4683);2246.301;0;02B0;5;2C;00;00;07;90;-1;-1;-1
4684);2246.541;0;0165;8;B7;B7;80;00;00;00;00;80
4685);2246.771;0;0316;8;05;1A;E4;09;1A;17;00;7F
4686);2247.005;0;0080;8;00;17;E4;09;1A;17;1A;2D
4687);2247.246;0;0081;8;80;84;87;00;00;00;00;0D
4688);2247.488;0;018F;8;00;34;1A;00;00;3F;00;10
4689);2247.724;0;0260;8;05;1A;00;30;00;8C;5B;18
4690);2247.954;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
4691);2248.186;0;0329;8;D7;B0;80;8C;12;2A;00;10
4692);2248.432;0;0382;8;40;FE;0F;00;00;00;00;04
4693);2248.673;0;04F2;8;80;00;D0;30;00;00;00;F4
4694);2248.905;0;0545;8;D8;0F;00;8B;1D;00;1E;00
4695);2249.589;0;043F;8;00;40;60;FF;7D;5C;09;00
4696);2249.829;0;0370;8;FF;20;00;80;FF;00;00;EC
4697);2250.073;0;0440;8;FF;F0;00;00;FF;68;09;00
4698);2250.311;0;0153;8;00;80;10;FF;00;FF;60;EE
4699);2250.559;0;01F1;8;00;BD;00;00;00;00;00;00
4700);2250.797;0;0220;8;EE;0B;FB;23;BF;01;04;10
4701);2252.279;0;0350;8;05;28;F4;54;68;00;00;E5
4702);2253.001;0;0018;8;20;00;01;60;01;00;20;00
4703);2255.237;0;04B0;8;00;00;00;80;00;40;00;80
4704);2255.487;0;0164;8;00;08;01;00;00;00;02;0B
4705);2256.272;0;02B0;5;2B;00;00;07;F1;-1;-1;-1
4706);2256.514;0;0165;8;B5;C7;80;00;00;00;01;F3
4707);2256.748;0;0260;8;05;1A;00;30;00;8C;5B;27
4708);2256.986;0;0080;8;00;17;EA;09;1A;17;1A;BE
4709);2257.226;0;0081;8;80;84;87;00;00;00;00;FE
4710);2257.468;0;018F;8;00;34;1A;00;00;3F;00;10
4711);2257.699;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
4712);2257.931;0;0316;8;05;1A;EA;09;1A;17;00;7F
4713);2258.163;0;0329;8;D7;B0;80;8C;12;2A;00;10
4714);2258.403;0;04F0;8;00;00;EE;00;00;0A;21;0F
4715);2258.635;0;0545;8;D8;0F;00;8B;1D;00;1E;00
4716);2259.603;0;043F;8;00;40;60;FF;7D;5C;09;00
4717);2259.845;0;0370;8;FF;20;00;80;FF;00;00;A0
4718);2260.089;0;0440;8;FF;00;00;00;FF;5C;09;00
4719);2260.330;0;0153;8;00;80;10;FF;00;FF;70;FE
4720);2260.564;0;0220;8;EE;13;01;04;BF;31;03;10
4721);2265.198;0;04B1;8;27;64;62;9E;00;00;00;8B
4722);2265.446;0;0164;8;00;08;01;00;00;00;03;0A
4723);2266.278;0;02B0;5;2B;00;00;07;C2;-1;-1;-1
4724);2266.514;0;0165;8;B3;D7;80;00;00;00;02;E6
4725);2266.748;0;0260;8;05;1A;00;30;00;8C;5B;36
4726);2266.984;0;0080;8;00;17;EA;09;1A;17;1A;AF
4727);2267.225;0;0081;8;80;84;87;00;00;00;00;EF
4728);2267.467;0;018F;8;00;34;1A;00;00;3F;00;10
4729);2267.699;0;02A0;8;62;00;87;9D;C0;2E;36;0C
4730);2267.931;0;0316;8;05;1A;EA;09;1A;17;00;7F
4731);2268.163;0;0329;8;D7;B0;80;8C;12;2A;00;10
4732);2268.410;0;0382;8;40;FE;0F;00;00;00;00;08
4733);2268.650;0;04F2;8;80;00;D0;30;00;00;00;F5
4734);2268.882;0;0545;8;D8;0F;00;8B;1D;00;1E;00
4735);2269.632;0;043F;8;00;40;60;FF;7D;5C;09;00
4736);2269.872;0;0370;8;FF;20;00;80;FF;00;00;64
4737);2270.118;0;0440;8;FF;50;00;00;FF;5C;09;00
4738);2270.360;0;0153;8;00;80;10;FF;00;FF;80;0E
4739);2270.608;0;01F1;8;00;BD;00;00;00;00;00;00
4740);2270.840;0;0220;8;EC;1B;0A;24;BF;21;00;10
4741);2272.322;0;0350;8;05;28;04;54;68;00;00;15
4742);2275.232;0;04B0;8;00;40;00;80;00;40;00;80
4743);2275.478;0;0164;8;00;08;01;00;00;00;04;0D
4744);2276.221;0;02B0;5;2B;00;00;07;D3;-1;-1;-1
4745);2276.459;0;0165;8;B2;C7;80;00;00;00;03;F6
4746);2276.691;0;02A0;8;02;00;87;9D;C0;2E;36;0C
4747);2276.925;0;0260;8;05;1A;00;30;00;8C;5B;09
4748);2277.161;0;0080;8;00;17;EA;09;1A;17;1A;90
4749);2277.402;0;0081;8;80;84;87;00;00;00;00;D0
4750);2277.644;0;018F;8;00;34;1A;00;00;3F;00;10
4751);2277.876;0;0316;8;05;1A;EA;09;1A;17;00;7F
4752);2278.108;0;0329;8;D7;B0;80;8C;12;2A;00;10
4753);2278.348;0;04F0;8;00;00;F0;00;00;0A;21;0F
4754);2278.584;0;0545;8;D8;0F;00;8C;1D;00;1E;00
4755);2279.602;0;043F;8;00;40;60;FF;7D;60;09;00
4756);2279.846;0;0370;8;FF;20;00;80;FF;00;00;28
4757);2280.089;0;0440;8;FF;A0;00;00;FF;68;09;00
4758);2280.327;0;0153;8;00;80;10;FF;00;FF;90;1E
4759);2280.563;0;0220;8;ED;23;0E;04;BF;31;00;10
4760);2283.023;0;0034;8;00;00;00;00;00;00;00;00
4761);2285.197;0;04B1;8;27;64;62;9E;00;00;00;8B
4762);2285.441;0;0164;8;00;08;01;00;00;00;05;0C
4763);2286.231;0;02B0;5;2D;00;00;07;C4;-1;-1;-1
4764);2286.469;0;0165;8;B2;C7;80;00;00;00;04;F1
4765);2286.712;0;04F2;8;80;00;E0;30;00;00;00;F6
4766);2287.210;0;0316;8;05;1A;EA;09;1A;17;00;7F
4767);2287.452;0;018F;8;00;34;1A;00;00;3F;00;10
4768);2287.688;0;0080;8;00;17;EA;09;1A;17;1A;81
4769);2287.928;0;0081;8;80;84;87;00;00;00;00;C1
4770);2288.162;0;0260;8;05;1A;00;30;00;8C;59;1A
4771);2288.393;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
4772);2288.625;0;0329;8;D7;B0;80;8C;12;2A;00;10
4773);2288.871;0;0382;8;40;FE;0F;00;00;00;00;0C
4774);2289.107;0;0545;8;D8;0F;00;8B;1A;00;1E;00
4775);2289.651;0;043F;8;00;40;60;FF;7D;68;09;00
4776);2289.891;0;0370;8;FF;20;00;80;FF;00;00;EC
4777);2290.135;0;0440;8;FF;F0;00;00;FF;70;09;00
4778);2290.373;0;0153;8;00;80;10;FF;00;FF;A0;2E
4779);2290.622;0;01F1;8;00;BD;00;00;00;00;00;00
4780);2290.856;0;0220;8;EF;2B;08;14;BF;31;00;10
4781);2292.399;0;0350;8;05;28;14;54;68;00;00;05
4782);2293.056;0;0510;8;00;00;00;00;00;00;00;00
4783);2294.406;0;0587;8;00;00;00;00;00;00;00;08
4784);2295.234;0;04B0;8;00;80;00;80;00;40;00;80
4785);2295.482;0;0164;8;00;08;01;00;00;00;06;0F
4786);2296.234;0;02B0;5;2C;00;00;07;C5;-1;-1;-1
4787);2296.472;0;0165;8;B3;B7;80;00;00;00;05;81
4788);2296.715;0;018F;8;00;34;1A;00;00;3F;00;10
4789);2296.951;0;0080;8;00;17;CA;09;1A;17;1A;92
4790);2297.191;0;0081;8;80;84;87;00;00;00;00;B2
4791);2297.425;0;0260;8;05;1A;00;30;00;8C;59;29
4792);2297.655;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
4793);2297.888;0;0316;8;05;1A;CA;09;1A;17;00;7F
4794);2298.121;0;0329;8;D7;B0;80;8C;12;2A;00;10
4795);2298.361;0;04F0;8;00;00;F2;00;00;0A;21;0F
4796);2298.595;0;0545;8;D8;0F;00;8B;1A;00;1B;00
4797);2299.595;0;043F;8;00;40;60;FF;7D;6C;09;00
4798);2299.837;0;0370;8;FF;20;00;80;FF;00;00;A0
4799);2300.079;0;0440;8;FF;00;00;00;FF;70;09;00
4800);2300.321;0;0153;8;00;80;10;FF;00;FF;B0;3E
4801);2300.557;0;0220;8;F1;33;FC;03;BF;01;01;10
4802);2303.546;0;05A0;8;00;00;00;00;00;00;00;00
4803);2305.196;0;04B1;8;27;64;62;9E;00;00;00;8B
4804);2305.440;0;0164;8;00;08;01;00;00;00;07;0E
4805);2306.189;0;02B0;5;2B;00;00;07;86;-1;-1;-1
4806);2306.425;0;0165;8;B4;A7;80;00;00;00;06;95
4807);2306.659;0;0316;8;05;1A;C0;09;1A;17;00;7F
4808);2306.895;0;0080;8;00;17;C0;09;1A;17;1A;23
4809);2307.137;0;0081;8;80;84;87;00;00;00;00;A3
4810);2307.379;0;018F;8;00;34;1A;00;00;3F;00;10
4811);2307.618;0;0260;8;05;1A;00;30;00;8C;59;38
4812);2307.850;0;02A0;8;62;00;87;9D;C0;2E;36;0C
4813);2308.086;0;0329;8;0F;B0;80;8C;12;2A;00;10
4814);2308.334;0;0382;8;40;FE;0F;00;00;00;00;00
4815);2308.576;0;04F2;8;80;00;E0;30;00;00;00;F7
4816);2308.808;0;0545;8;D8;0F;00;8A;1A;00;1B;00
4817);2309.554;0;02C0;8;3D;00;00;00;00;00;00;00
4818);2309.794;0;0370;8;FF;20;00;80;FF;00;00;64
4819);2310.034;0;043F;8;00;40;60;FF;7D;6C;09;00
4820);2310.276;0;0153;8;00;80;10;FF;00;FF;C0;4E
4821);2310.524;0;01F1;8;00;BD;00;00;00;00;00;00
4822);2310.762;0;0220;8;F1;3B;F4;13;BF;01;04;10
4823);2311.008;0;0440;8;FF;50;00;00;FF;70;09;00
4824);2311.255;0;059B;8;00;00;00;00;00;00;00;88
4825);2311.464;0;05A2;4;25;02;91;02;-1;-1;-1;-1
4826);2312.372;0;0350;8;05;28;24;54;68;00;00;35
4827);2315.230;0;04B0;8;00;C0;00;80;00;40;00;80
4828);2315.478;0;0164;8;00;08;01;00;00;00;08;01
4829);2316.157;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
4830);2316.393;0;0165;8;B6;A7;80;00;00;00;07;96
4831);2316.579;0;02B0;5;2D;00;00;07;F7;-1;-1;-1
4832);2316.813;0;0316;8;05;1A;C0;09;1A;17;00;7F
4833);2317.049;0;0080;8;00;17;C0;09;1A;17;1A;14
4834);2317.288;0;0081;8;80;84;87;00;00;00;00;94
4835);2317.530;0;018F;8;00;34;1A;00;00;3F;00;10
4836);2317.764;0;0260;8;05;1A;00;30;00;8C;59;0B
4837);2317.996;0;02A0;8;02;00;87;9D;C0;2E;36;0C
4838);2318.232;0;0329;8;0F;B0;80;8C;12;2A;00;10
4839);2318.472;0;04F0;8;00;00;F4;00;00;0A;21;0F
4840);2318.705;0;0545;8;D8;0F;00;8A;1A;00;1B;00
4841);2318.949;0;04F1;8;C0;18;00;00;00;00;00;00
4842);2319.213;0;0690;8;03;00;00;20;A0;00;3D;00
4843);2319.601;0;043F;8;00;40;60;FF;7D;70;09;00
4844);2319.845;0;0370;8;FF;20;00;80;FF;00;00;28
4845);2320.086;0;0440;8;FF;A0;00;00;FF;74;09;00
4846);2320.326;0;0153;8;00;80;10;FF;00;FF;D0;5E
4847);2320.562;0;0220;8;F0;03;F3;0B;BF;01;06;10
4848);2325.196;0;04B1;8;27;64;62;9E;00;00;00;8B
4849);2325.442;0;0164;8;00;08;01;00;00;00;09;00
4850);2326.238;0;02B0;5;2C;00;00;07;18;-1;-1;-1
4851);2326.476;0;0165;8;B8;97;80;00;00;00;08;A7
4852);2326.710;0;0316;8;05;1A;C0;09;1A;17;00;7F
4853);2326.940;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
4854);2327.179;0;0080;8;00;17;C0;09;1A;17;1A;05
4855);2327.419;0;0081;8;80;84;87;00;00;00;00;85
4856);2327.661;0;018F;8;00;34;1A;00;00;3F;00;10
4857);2327.895;0;0260;8;05;1A;00;30;00;8C;59;1A
4858);2328.131;0;0329;8;0F;B0;80;8C;12;2A;00;10
4859);2328.378;0;0382;8;40;FE;0F;00;00;00;00;04
4860);2328.624;0;04F2;8;80;00;E0;30;00;00;00;F8
4861);2328.856;0;0545;8;D8;0F;00;8A;1A;00;1B;00
