No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
63);29.710;0;0329;8;84;B8;80;8C;11;29;00;10
64);29.944;0;04B1;8;28;64;62;9E;00;00;00;8C
65);30.190;0;0164;8;00;08;01;00;00;00;0F;06
66);30.426;0;0545;8;D8;0E;00;89;18;00;1A;00
67);30.982;0;04F0;8;00;00;EC;00;00;0A;21;0F
68);33.880;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
69);34.118;0;0165;8;D4;57;80;00;00;00;0B;08
70);34.306;0;02B0;5;12;00;00;07;FB;-1;-1;-1
71);34.563;0;0153;8;00;80;10;FF;00;FF;10;9E
72);34.811;0;01F1;8;00;BD;00;00;00;00;00;00
73);35.045;0;0220;8;F3;3B;FF;3B;0C;30;01;10
74);35.285;0;0370;8;FF;20;00;80;FF;00;00;64
75);35.525;0;043F;8;00;40;60;FF;7B;60;09;00
76);35.767;0;0440;8;FF;50;00;00;FF;64;09;00
77);38.311;0;0316;8;05;17;B0;09;18;13;00;7F
78);38.547;0;0260;8;05;18;00;30;00;8B;57;1F
79);38.779;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
80);39.014;0;0080;8;00;17;B0;09;17;13;18;2D
81);39.254;0;0081;8;40;84;88;00;00;00;00;3D
82);39.496;0;018F;8;00;2C;18;00;00;3F;00;10
83);39.726;0;0329;8;D7;B8;80;8C;11;29;00;10
84);39.972;0;0382;8;40;FE;0F;00;00;00;00;04
85);40.218;0;04B0;8;00;C0;00;40;00;40;00;80
86);40.466;0;0164;8;00;08;01;00;00;00;00;09
87);40.703;0;0545;8;D8;0E;00;89;18;00;1A;00
88);42.405;0;04F2;8;80;00;00;30;00;00;00;F4
89);43.956;0;0350;8;05;20;54;54;6F;00;00;4A
90);44.197;0;0165;8;D5;47;80;00;00;00;0C;1E
91);44.385;0;02B0;5;12;00;00;07;8C;-1;-1;-1
92);44.627;0;0110;8;D0;3C;40;09;00;00;00;00
93);44.867;0;0153;8;00;80;10;FF;00;FF;20;AE
94);45.103;0;0220;8;F2;03;F7;03;0C;30;03;10
95);45.347;0;0370;8;FF;20;00;80;FF;00;00;28
96);45.587;0;043F;8;00;40;60;FF;7B;60;09;00
97);45.829;0;0440;8;FF;A0;00;00;FF;64;09;00
98);48.073;0;0316;8;05;17;B0;09;18;13;00;7F
99);48.316;0;018F;8;00;2C;18;00;00;3F;00;10
100);48.550;0;0080;8;00;17;B0;09;17;13;18;1E
101);48.792;0;0081;8;40;84;88;00;00;00;00;2E
102);49.028;0;0260;8;05;18;00;30;00;8B;57;2E
103);49.260;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
104);49.490;0;0329;8;D7;B8;80;8C;11;29;00;10
105);49.725;0;04B1;8;28;64;62;9E;00;00;00;8C
106);49.973;0;0164;8;00;08;01;00;00;00;01;08
107);50.209;0;0545;8;D8;0E;00;89;18;00;1A;00
108);50.987;0;04F0;8;00;00;EE;00;00;0A;21;0F
109);53.973;0;02B0;5;11;00;00;07;AD;-1;-1;-1
110);54.209;0;0165;8;D5;57;80;00;00;00;0D;0F
111);54.561;0;0153;8;00;80;10;FF;00;FF;30;BE
112);54.809;0;01F1;8;00;BD;00;00;00;00;00;00
113);55.046;0;0220;8;EE;0B;F4;13;0C;30;03;10
114);55.286;0;0370;8;FF;20;00;80;FF;00;00;EC
115);55.524;0;043F;8;00;40;60;FF;7B;54;09;00
116);55.766;0;0440;8;FF;F0;00;00;FF;4C;09;00
117);58.144;0;0316;8;05;17;B0;09;18;13;00;7F
118);58.386;0;018F;8;00;2C;18;00;00;3F;00;10
119);58.622;0;0080;8;00;17;B0;09;17;13;18;0F
120);58.868;0;0081;8;40;84;88;00;00;00;00;1F
121);59.102;0;0260;8;05;18;00;30;00;8B;57;3D
122);59.333;0;02A0;8;62;00;88;9D;C0;2E;36;0C
123);59.563;0;0329;8;D7;B8;80;8C;11;29;00;10
124);59.809;0;0382;8;40;FE;0F;00;00;00;00;08
125);60.057;0;04B0;8;00;00;00;80;00;40;00;80
126);60.307;0;0164;8;00;08;01;00;00;00;02;0B
127);60.543;0;0545;8;D8;0E;00;8A;18;00;1A;00
128);60.938;0;04F2;8;80;00;10;30;00;00;00;F5
129);63.897;0;0350;8;05;20;64;54;6F;00;00;7A
130);64.135;0;0165;8;D5;57;80;00;00;00;0E;0C
131);64.319;0;02B0;5;11;00;00;07;9E;-1;-1;-1
132);64.559;0;0153;8;00;80;10;FF;00;FF;40;CE
133);64.793;0;0220;8;EC;13;F8;23;0C;20;03;10
134);65.035;0;0370;8;FF;20;00;80;FF;00;00;A0
135);65.278;0;043F;8;00;40;60;FF;7B;50;09;00
136);65.518;0;0440;8;FF;00;00;00;FF;4C;09;00
137);67.889;0;02C0;8;3D;00;00;00;00;00;00;00
138);68.267;0;0316;8;05;18;C2;09;18;13;00;7F
139);68.503;0;0260;8;05;18;00;30;00;8B;59;0E
140);68.746;0;018F;8;00;2C;18;00;00;3F;00;10
141);68.986;0;0080;8;00;17;C2;09;18;13;18;B0
142);69.230;0;0081;8;40;84;88;00;00;00;00;00
143);69.462;0;02A0;8;02;00;88;9D;C0;2E;36;0C
144);69.692;0;0329;8;D7;B8;80;8C;11;29;00;10
145);69.926;0;04B1;8;28;64;62;9E;00;00;00;8C
146);70.174;0;0164;8;00;08;01;00;00;00;03;0A
147);70.411;0;0545;8;D8;0E;00;8B;1F;00;20;00
148);71.003;0;04F0;8;00;00;F0;00;00;0A;21;0F
149);73.925;0;02B0;5;13;00;00;07;AF;-1;-1;-1
150);74.163;0;0165;8;D5;67;80;00;00;00;0F;3D
151);74.561;0;0153;8;00;80;10;FF;00;FF;50;DE
152);74.809;0;01F1;8;00;BD;00;00;00;00;00;00
153);75.045;0;0220;8;EC;1B;FC;13;0C;30;03;10
154);75.285;0;0370;8;FF;20;00;80;FF;00;00;64
155);75.526;0;043F;8;00;40;60;FF;7B;5C;09;00
156);75.768;0;0440;8;FF;50;00;00;FF;68;09;00
157);78.695;0;0316;8;05;18;C2;09;18;13;00;7F
158);78.932;0;0260;8;05;18;00;30;00;8B;59;1D
159);79.172;0;0080;8;00;17;C2;09;18;13;18;A1
160);79.414;0;0081;8;40;84;88;00;00;00;00;F1
161);79.656;0;018F;8;00;2C;18;00;00;3F;00;10
162);79.888;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
163);80.119;0;0329;8;D7;B8;80;8C;11;29;00;10
164);80.365;0;0382;8;40;FE;0F;00;00;00;00;0C
165);80.609;0;04B0;8;00;40;00;80;00;40;00;80
166);80.855;0;0164;8;00;08;01;00;00;00;04;0D
167);81.095;0;04F2;8;80;00;10;30;00;00;00;F6
168);81.331;0;0545;8;D8;0E;00;8B;1F;00;20;00
169);83.889;0;0350;8;05;20;74;54;6F;00;00;6A
170);84.129;0;0165;8;D4;57;80;00;00;00;00;03
171);84.315;0;02B0;5;11;00;00;07;70;-1;-1;-1
172);84.565;0;0153;8;00;80;10;FF;00;FF;60;EE
173);84.801;0;0220;8;ED;23;00;34;0C;10;03;10
174);85.045;0;0370;8;FF;20;00;80;FF;00;00;28
175);85.285;0;043F;8;00;40;60;FF;7B;60;09;00
176);85.528;0;0440;8;FF;A0;00;00;FF;64;09;00
177);88.074;0;0316;8;05;18;C8;09;18;13;00;7F
178);88.317;0;018F;8;00;2C;18;00;00;3F;00;10
179);88.555;0;0080;8;00;17;C8;09;18;13;18;32
180);88.795;0;0081;8;40;84;88;00;00;00;00;E2
181);89.029;0;0260;8;05;18;00;30;00;8B;59;2C
182);89.261;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
183);89.491;0;0329;8;D7;B8;80;8C;11;29;00;10
184);89.726;0;04B1;8;28;64;62;9E;00;00;00;8C
185);89.970;0;0164;8;00;08;01;00;00;00;05;0C
186);90.206;0;0545;8;D8;0E;00;8B;1F;00;20;00
187);92.354;0;04F0;8;00;00;F2;00;00;0A;21;0F
188);92.618;0;04F1;8;C0;18;00;00;00;00;00;00
189);92.886;0;051A;8;00;03;00;00;00;00;00;00
190);93.200;0;0690;8;03;00;00;20;A0;00;09;00
191);93.925;0;02B0;5;11;00;00;07;61;-1;-1;-1
192);94.161;0;0165;8;D3;67;80;00;00;00;01;35
193);94.561;0;0153;8;00;80;10;FF;00;FF;70;FE
194);94.735;0;0120;4;00;00;00;00;-1;-1;-1;-1
195);94.983;0;01F1;8;00;BD;00;00;00;00;00;00
196);95.222;0;0220;8;EF;2B;04;14;0C;20;03;10
197);95.462;0;0370;8;FF;20;00;80;FF;00;00;EC
198);95.702;0;043F;8;00;40;60;FF;7B;58;09;00
199);95.944;0;0440;8;FF;F0;00;00;FF;54;09;00
200);96.192;0;0517;8;00;00;00;00;00;00;00;00
201);96.436;0;059B;8;00;00;00;00;00;00;00;C4
202);98.214;0;0316;8;05;18;C8;09;18;13;00;7F
203);98.448;0;0260;8;05;18;00;30;00;8B;59;3B
204);98.679;0;02A0;8;62;00;88;9D;C0;2E;36;0C
205);98.917;0;0080;8;00;17;C8;09;18;13;18;23
206);99.159;0;0081;8;40;84;88;00;00;00;00;D3
207);99.401;0;018F;8;00;2C;18;00;00;3F;00;10
208);99.635;0;0329;8;0F;B8;80;8C;11;29;00;10
209);99.884;0;0382;8;40;FE;0F;00;00;00;00;00
210);100.130;0;04B0;8;00;80;00;80;00;40;00;80
211);100.378;0;0164;8;00;08;01;00;00;00;06;0F
212);100.614;0;0545;8;D8;0E;00;8B;1F;00;20;00
213);101.114;0;04F2;8;80;00;10;30;00;00;00;F7
214);103.885;0;0350;8;05;20;84;54;6F;00;00;9A
215);104.122;0;0165;8;D3;67;80;00;00;00;02;36
216);104.310;0;02B0;5;11;00;00;07;52;-1;-1;-1
217);104.562;0;0153;8;00;80;10;FF;00;FF;80;0E
218);104.796;0;0220;8;F0;33;09;34;0C;10;03;10
219);105.038;0;0370;8;FF;20;00;80;FF;00;00;A0
220);105.276;0;043F;8;00;40;60;FF;7B;54;09;00
221);105.518;0;0440;8;FF;00;00;00;FF;54;09;00
222);105.770;0;0510;8;00;00;00;00;00;00;00;00
223);108.298;0;0316;8;05;18;C8;09;18;13;00;7F
224);108.535;0;0260;8;05;18;00;30;00;8B;59;0E
225);108.777;0;018F;8;00;2C;18;00;00;3F;00;10
226);109.017;0;0080;8;00;17;C8;09;18;13;18;14
227);109.257;0;0081;8;40;84;88;00;00;00;00;C4
228);109.489;0;02A0;8;02;00;88;9D;C0;2E;36;0C
229);109.723;0;0329;8;0F;B8;80;8C;11;29;00;10
230);109.958;0;04B1;8;28;64;62;9E;00;00;00;8C
231);110.202;0;0164;8;00;08;01;00;00;00;07;0E
232);110.438;0;0545;8;D8;0E;00;8B;1F;00;20;00
233);111.014;0;04F0;8;00;00;F4;00;00;0A;21;0F
234);113.940;0;02B0;5;11;00;00;07;43;-1;-1;-1
235);114.176;0;0165;8;D3;67;80;00;00;00;03;37
236);114.558;0;0153;8;00;80;10;FF;00;FF;90;1E
237);114.807;0;01F1;8;00;BD;00;00;00;00;00;00
238);115.043;0;0220;8;F1;3B;08;34;0C;10;03;10
239);115.283;0;0370;8;FF;20;00;80;FF;00;00;64
240);115.521;0;043F;8;00;40;60;FF;7B;54;09;00
241);115.761;0;0440;8;FF;50;00;00;FF;58;09;00
242);116.635;0;0587;8;00;00;00;00;00;00;00;09
243);118.289;0;0316;8;05;19;AA;09;18;13;00;7F
244);118.523;0;0260;8;05;18;00;30;00;8B;5B;1B
245);118.756;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
246);118.988;0;0080;8;00;17;AA;09;19;13;18;F5
247);119.228;0;0081;8;40;84;88;00;00;00;00;B5
248);119.470;0;018F;8;00;2C;18;00;00;3F;00;10
249);119.704;0;0329;8;0F;B8;80;8C;11;29;00;10
250);119.950;0;0382;8;40;FE;0F;00;00;00;00;04
251);120.195;0;04B0;8;00;C0;00;80;00;40;00;80
252);120.443;0;0164;8;00;08;01;00;00;00;08;01
253);120.679;0;0545;8;D8;0E;00;8B;24;00;22;00
254);120.919;0;00A0;8;45;7F;C2;09;00;1F;00;02
255);121.157;0;00A1;8;7E;8D;80;80;26;00;00;00
256);121.401;0;04F2;8;80;00;10;30;00;00;00;F8
257);123.919;0;0350;8;05;20;94;54;6F;00;00;8A
258);124.155;0;0165;8;D2;67;80;00;00;00;04;31
259);124.341;0;02B0;5;11;00;00;07;34;-1;-1;-1
260);124.579;0;0153;8;00;80;10;FF;00;FF;A0;2E
261);124.819;0;0220;8;F1;03;00;0C;0C;10;03;10
262);125.061;0;043F;8;00;40;60;FF;7B;50;09;00
263);125.305;0;0370;8;FF;20;00;80;FF;00;00;28
264);125.548;0;0440;8;FF;A0;00;00;FF;50;09;00
265);128.479;0;0316;8;05;19;AA;09;18;13;00;7F
266);128.722;0;018F;8;00;2C;18;00;00;3F;00;10
267);128.954;0;0080;8;00;17;AA;09;19;13;18;E6
268);129.196;0;0081;8;40;84;88;00;00;00;00;A6
269);129.432;0;0260;8;05;18;00;30;00;8B;5B;2A
270);129.664;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
271);129.898;0;0329;8;0F;B8;80;8C;11;29;00;10
272);130.133;0;04B1;8;28;64;62;9E;00;00;00;8C
273);130.379;0;0164;8;00;08;01;00;00;00;09;00
274);130.613;0;0545;8;D8;0D;00;89;24;00;22;00
275);131.007;0;04F0;8;00;00;F6;00;00;0A;21;0F
276);133.917;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
277);134.155;0;0165;8;D3;57;80;00;00;00;05;01
278);134.341;0;02B0;5;12;00;00;07;15;-1;-1;-1
279);134.584;0;0153;8;00;80;10;FF;00;FF;B0;3E
280);134.832;0;01F1;8;00;BD;00;00;00;00;00;00
281);135.068;0;0220;8;F0;0B;F8;3B;0C;20;03;10
282);135.308;0;0370;8;FF;20;00;80;FF;00;00;EC
283);135.546;0;043F;8;00;40;60;FF;7B;4C;09;00
284);135.788;0;0440;8;FF;F0;00;00;FF;4C;09;00
285);138.176;0;0316;8;05;19;A2;09;18;13;00;7F
286);138.418;0;018F;8;00;2C;18;00;00;3F;00;10
287);138.652;0;0260;8;05;18;00;30;00;8B;5B;39
288);138.889;0;0080;8;00;17;A2;09;19;13;18;57
289);139.131;0;0081;8;40;84;88;00;00;00;00;97
290);139.361;0;02A0;8;62;00;88;9D;C0;2E;36;0C
291);139.595;0;0329;8;0F;B8;80;8C;11;29;00;10
292);139.841;0;0382;8;40;FE;0F;00;00;00;00;08
293);140.087;0;04B0;8;00;00;00;C0;00;40;00;80
294);140.335;0;0164;8;00;08;01;00;00;00;0A;03
295);140.570;0;0545;8;D8;0D;00;89;24;00;22;00
296);142.364;0;04F2;8;80;00;10;30;00;00;00;F9
297);143.867;0;0350;8;05;20;A4;54;6F;00;00;BA
298);144.106;0;0165;8;D3;57;80;00;00;00;06;02
299);144.290;0;02B0;5;11;00;00;07;16;-1;-1;-1
300);144.560;0;0153;8;00;80;10;FF;00;FF;C0;4E
301);144.802;0;0110;8;D0;3C;40;09;00;00;00;00
302);145.036;0;0220;8;EE;13;F6;0B;0C;30;03;10
303);145.278;0;0370;8;FF;20;00;80;FF;00;00;A0
304);145.516;0;043F;8;00;40;60;FF;7B;44;09;00
305);145.758;0;0440;8;FF;00;00;00;FF;40;09;00
306);148.273;0;0316;8;05;19;A2;09;18;13;00;7F
307);148.510;0;0260;8;05;18;00;30;00;8B;5B;0C
308);148.752;0;018F;8;00;2C;18;00;00;3F;00;10
309);148.984;0;0080;8;00;17;A2;09;19;13;18;48
310);149.224;0;0081;8;40;84;88;00;00;00;00;88
311);149.456;0;02A0;8;02;00;88;9D;C0;2E;36;0C
312);149.690;0;0329;8;0F;B8;80;8C;11;29;00;10
313);149.925;0;04B1;8;28;64;62;9E;00;00;00;8C
314);150.171;0;0164;8;00;08;01;00;00;00;0B;02
315);150.405;0;0545;8;D8;0D;00;89;24;00;22;00
316);150.967;0;04F0;8;00;00;F8;00;00;0A;21;0F
317);153.999;0;02B0;5;11;00;00;07;07;-1;-1;-1
318);154.239;0;0165;8;D4;57;80;00;00;00;07;04
319);154.557;0;0153;8;00;80;10;FF;00;FF;D0;5E
320);154.732;0;0050;4;00;83;00;00;-1;-1;-1;-1
321);154.980;0;01F1;8;00;BD;00;00;00;00;00;00
322);155.212;0;0220;8;EC;1B;F7;0B;0C;30;03;10
323);155.452;0;0370;8;FF;20;00;80;FF;00;00;64
324);155.690;0;043F;8;00;40;60;FF;7B;44;09;00
325);155.932;0;0440;8;FF;50;00;00;FF;44;09;00
326);158.256;0;0316;8;05;19;A2;09;18;13;00;7F
327);158.490;0;0260;8;05;18;00;30;00;8B;5B;1B
328);158.723;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
329);158.957;0;0329;8;40;B8;80;8C;11;29;00;10
330);159.191;0;0080;8;00;17;A2;09;19;13;18;39
331);159.431;0;0081;8;40;84;88;00;00;00;00;79
332);159.673;0;018F;8;00;2C;18;00;00;3F;00;10
333);159.919;0;0382;8;40;FE;0F;00;00;00;00;0C
334);160.166;0;04B0;8;00;40;00;C0;00;40;00;80
335);160.412;0;0164;8;00;08;01;00;00;00;0C;05
336);160.646;0;0545;8;D8;0D;00;89;24;00;22;00
337);161.008;0;04F2;8;80;00;20;30;00;00;00;FA
338);163.861;0;0350;8;05;20;B4;54;6F;00;00;AA
339);164.049;0;02B0;5;13;00;01;07;C8;-1;-1;-1
340);164.289;0;0165;8;D4;57;80;00;00;00;08;0B
341);164.432;0;05F0;2;00;00;-1;-1;-1;-1;-1;-1
342);164.680;0;0018;8;20;00;01;60;01;00;20;00
343);164.920;0;0153;8;00;80;10;FF;00;FF;E0;6E
344);165.152;0;0220;8;EB;23;FB;3B;0C;30;03;10
345);165.396;0;0370;8;FF;20;00;80;FF;00;00;28
346);165.634;0;043F;8;00;40;60;FF;7B;48;09;00
347);165.874;0;0440;8;FF;A0;00;00;FF;4C;09;00
348);167.920;0;02C0;8;3D;00;00;00;00;00;00;00
349);168.154;0;0316;8;05;18;B6;09;18;13;00;7F
350);168.386;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
351);168.623;0;0080;8;00;17;B6;09;18;13;18;EA
352);168.865;0;0081;8;40;84;88;00;00;00;00;6A
353);169.107;0;018F;8;00;2C;18;00;00;3F;00;10
354);169.341;0;0260;8;05;18;00;30;00;8B;59;2C
355);169.575;0;0329;8;40;B8;80;8C;11;29;00;10
356);169.809;0;04B1;8;28;64;62;9E;00;00;00;8C
357);170.057;0;0164;8;00;08;01;00;00;00;0D;04
358);170.292;0;0545;8;D8;0D;00;8A;20;00;22;00
359);170.998;0;04F0;8;00;00;FA;00;00;0A;21;0F
360);173.952;0;02B0;5;12;00;00;07;D9;-1;-1;-1
361);174.190;0;0165;8;D3;67;80;00;00;00;09;3D
362);174.554;0;0153;8;00;80;10;FF;00;FF;00;8E
363);174.802;0;01F1;8;00;BD;00;00;00;00;00;00
364);175.035;0;0220;8;ED;2B;FD;3B;0C;30;03;10
365);175.275;0;0370;8;FF;20;00;80;FF;00;00;EC
366);175.513;0;043F;8;00;40;60;FF;7B;48;09;00
367);175.755;0;0440;8;FF;F0;00;00;FF;4C;09;00
368);178.205;0;0316;8;05;18;BA;09;18;13;00;7F
369);178.439;0;0260;8;05;18;00;30;00;8B;59;3B
370);178.669;0;02A0;8;62;00;88;9D;C0;2E;36;0C
371);178.903;0;0080;8;00;17;BA;09;18;13;18;9B
372);179.143;0;0081;8;40;84;88;00;00;00;00;5B
373);179.386;0;018F;8;00;2C;18;00;00;3F;00;10
374);179.620;0;0329;8;40;B8;80;8C;11;29;00;10
375);179.868;0;0382;8;40;FE;0F;00;00;00;00;00
376);180.118;0;04B0;8;00;80;00;C0;00;40;00;80
377);180.364;0;0164;8;00;08;01;00;00;00;0E;07
378);180.598;0;0545;8;D8;0D;00;8A;20;00;22;00
379);180.994;0;04F2;8;80;00;20;30;00;00;00;FB
380);183.908;0;0350;8;05;20;C4;54;6F;00;00;DA
381);184.148;0;0165;8;D3;57;80;00;00;00;0A;0E
382);184.336;0;02B0;5;12;00;00;07;EA;-1;-1;-1
383);184.574;0;0153;8;00;80;10;FF;00;FF;10;9E
384);184.810;0;0220;8;F0;33;01;0C;0C;10;03;10
385);185.052;0;0370;8;FF;20;00;80;FF;00;00;A0
386);185.290;0;043F;8;00;40;60;FF;7B;48;09;00
387);185.531;0;0440;8;FF;00;00;00;FF;4C;09;00
388);188.278;0;0316;8;05;18;BA;09;18;13;00;7F
389);188.515;0;0260;8;05;18;00;30;00;8B;59;0E
390);188.757;0;018F;8;00;2C;18;00;00;3F;00;10
391);188.991;0;0080;8;00;17;BA;09;18;13;18;8C
392);189.233;0;0081;8;40;84;88;00;00;00;00;4C
393);189.465;0;02A0;8;02;00;88;9D;C0;2E;36;0C
394);189.699;0;0329;8;40;B8;80;8C;11;29;00;10
395);189.934;0;04B1;8;28;64;62;9E;00;00;00;8C
396);190.180;0;0164;8;00;08;01;00;00;00;0F;06
397);190.418;0;0545;8;D8;0D;00;8B;20;00;22;00
398);192.334;0;04F0;8;00;00;FC;00;00;0A;21;0F
399);192.600;0;04F1;8;C0;18;00;00;00;00;00;00
400);192.862;0;0690;8;03;00;00;20;A0;00;0D;00
401);193.957;0;02B0;5;11;00;00;07;CB;-1;-1;-1
402);194.199;0;0165;8;D3;57;80;00;00;00;0B;0F
403);194.557;0;0153;8;00;80;10;FF;00;FF;20;AE
404);194.805;0;01F1;8;00;BD;00;00;00;00;00;00
405);195.047;0;0220;8;F0;3B;06;0C;0C;10;01;10
406);195.287;0;0370;8;FF;20;00;80;FF;00;00;64
407);195.525;0;043F;8;00;40;60;FF;7B;44;09;00
408);195.767;0;0440;8;FF;50;00;00;FF;44;09;00
409);196.013;0;059B;8;00;00;00;00;00;00;00;88
410);198.351;0;0316;8;05;18;BA;09;18;13;00;7F
411);198.588;0;0260;8;05;18;00;30;00;8B;59;1D
412);198.820;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
413);199.056;0;0080;8;00;17;BA;09;18;13;18;7D
414);199.296;0;0081;8;40;84;88;00;00;00;00;3D
415);199.538;0;018F;8;00;2C;18;00;00;3F;00;10
416);199.772;0;0329;8;40;B8;80;8C;11;29;00;10
417);200.019;0;0382;8;40;FE;0F;00;00;00;00;04
418);200.263;0;04B0;8;00;C0;00;C0;00;40;00;80
419);200.511;0;0164;8;00;08;01;00;00;00;00;09
420);200.747;0;0545;8;D8;0D;00;8C;21;00;23;00
421);201.061;0;04F2;8;80;00;20;30;00;00;00;FC
422);203.848;0;0350;8;05;20;D4;54;6F;00;00;CA
423);204.088;0;0165;8;D3;67;80;00;00;00;0C;38
424);204.277;0;02B0;5;12;00;00;07;8C;-1;-1;-1
425);204.561;0;0153;8;00;80;10;FF;00;FF;30;BE
426);204.793;0;0220;8;F1;03;08;24;0C;30;FF;0F
427);205.031;0;043F;8;00;40;60;FF;7B;44;09;00
428);205.275;0;0370;8;FF;20;00;80;FF;00;00;28
429);205.519;0;0440;8;FF;A0;00;00;FF;44;09;00
430);205.771;0;0510;8;00;00;00;00;00;00;00;00
431);208.654;0;0316;8;05;1A;BA;09;18;13;00;7F
432);208.886;0;0080;8;00;17;BA;09;1A;13;18;4E
433);209.128;0;0081;8;40;84;88;00;00;00;00;2E
434);209.370;0;018F;8;00;2C;18;00;00;3F;00;10
435);209.605;0;0260;8;05;18;00;30;00;8B;61;23
436);209.837;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
437);210.072;0;0329;8;40;B8;80;8C;11;29;00;10
438);210.306;0;04B1;8;28;64;62;9E;00;00;00;8C
439);210.554;0;0164;8;00;08;01;00;00;00;01;08
440);210.786;0;0545;8;D8;0D;00;8B;35;00;23;00
