No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
1);0.000;0;0382;8;40;FE;0F;00;00;00;00;0C
2);0.246;0;04B0;8;00;40;00;40;00;40;00;80
3);0.492;0;0164;8;00;08;01;00;00;00;0C;05
4);0.726;0;0545;8;D8;0E;00;8B;1A;00;1D;00
5);1.078;0;04F2;8;80;00;00;30;00;00;00;F2
6);3.917;0;0350;8;05;20;34;54;6F;00;00;2A
7);4.158;0;0165;8;D4;57;80;00;00;00;08;0B
8);4.344;0;02B0;5;13;00;00;07;D8;-1;-1;-1
9);4.584;0;0153;8;00;80;10;FF;00;FF;D0;5E
10);4.818;0;0220;8;F1;23;07;2C;0C;10;02;10
11);5.062;0;0370;8;FF;20;00;80;FF;00;00;28
12);5.300;0;043F;8;00;40;60;FF;7B;64;09;00
13);5.540;0;0440;8;FF;A0;00;00;FF;6C;09;00
14);5.793;0;0510;8;00;00;00;00;00;00;00;00
15);8.099;0;0316;8;05;18;E4;09;18;13;00;7F
16);8.341;0;018F;8;00;2C;18;00;00;3F;00;10
17);8.577;0;0080;8;00;17;E4;09;18;13;18;DA
18);8.819;0;0081;8;40;84;88;00;00;00;00;6A
19);9.055;0;0260;8;05;18;00;30;00;8B;57;2E
20);9.287;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
21);9.518;0;0329;8;84;B8;80;8C;11;29;00;10
22);9.752;0;04B1;8;28;64;62;9E;00;00;00;8C
23);10.000;0;0164;8;00;08;01;00;00;00;0D;04
24);10.236;0;0545;8;D8;0E;00;8B;19;00;1C;00
25);11.016;0;04F0;8;00;00;EA;00;00;0A;21;0F
26);11.752;0;00A0;8;45;7F;B2;09;00;1F;00;02
27);11.991;0;00A1;8;7E;8D;80;80;24;00;00;00
28);13.955;0;02B0;5;11;00;00;07;E9;-1;-1;-1
29);14.193;0;0165;8;D4;67;80;00;00;00;09;3A
30);14.565;0;0153;8;00;80;10;FF;00;FF;E0;6E
31);14.813;0;01F1;8;00;BD;00;00;00;00;00;00
32);15.051;0;0220;8;F0;2B;0C;0C;0C;10;01;10
33);15.291;0;0370;8;FF;20;00;80;FF;00;00;EC
34);15.529;0;043F;8;00;40;60;FF;7B;64;09;00
35);15.774;0;0440;8;FF;F0;00;00;FF;68;09;00
36);16.630;0;0587;8;00;00;00;00;00;00;00;08
37);18.606;0;0316;8;05;17;B8;09;18;13;00;7F
38);18.848;0;018F;8;00;2C;18;00;00;3F;00;10
39);19.080;0;0080;8;00;17;B8;09;17;13;18;CB
40);19.320;0;0081;8;40;84;88;00;00;00;00;5B
41);19.555;0;0260;8;05;18;00;30;00;8B;57;3D
42);19.785;0;02A0;8;62;00;88;9D;C0;2E;36;0C
43);20.015;0;0329;8;84;B8;80;8C;11;29;00;10
44);20.263;0;0382;8;40;FE;0F;00;00;00;00;00
45);20.509;0;04B0;8;00;80;00;40;00;40;00;80
46);20.755;0;0164;8;00;08;01;00;00;00;0E;07
47);20.987;0;0545;8;D8;0E;00;8B;17;00;19;00
48);21.231;0;04F2;8;80;00;00;30;00;00;00;F3
49);23.947;0;0350;8;05;20;44;54;6F;00;00;5A
50);24.188;0;0165;8;D4;57;80;00;00;00;0A;09
51);24.376;0;02B0;5;12;00;00;07;EA;-1;-1;-1
52);24.614;0;0153;8;00;80;10;FF;00;FF;00;8E
53);24.848;0;0220;8;F1;33;09;1C;0C;00;FF;0F
54);25.090;0;0370;8;FF;20;00;80;FF;00;00;A0
55);25.331;0;043F;8;00;40;60;FF;7B;60;09;00
56);25.575;0;0440;8;FF;00;00;00;FF;60;09;00
57);28.289;0;0316;8;05;17;B8;09;18;13;00;7F
58);28.525;0;0260;8;05;18;00;30;00;8B;57;00
59);28.767;0;018F;8;00;2C;18;00;00;3F;00;10
60);29.005;0;0080;8;00;17;B8;09;17;13;18;BC
61);29.247;0;0081;8;40;84;88;00;00;00;00;4C
62);29.479;0;02A0;8;02;00;88;9D;C0;2E;36;0C
